"","id","title","description","publishTime","kind_stats","duration_seconds","viewCount","likeCount","commentCount","pull_date"
"105","mwKJfNYwvm8","I Built 100 Wells In Africa","Click the link below to donate https://www.beastphilanthropy.org/campaign/mrbeast-100-wells New Merch - https://mrbeast.store ...",2023-11-04 16:00:00,"youtube#video",630,236940923,10285140,212792,"2025-04-28 00:03:09.151500+00:00"
"106","l9_8_pDTmis","Furthest Away From Me Wins $10,000","",2023-11-02 17:00:03,"youtube#video",48,604321171,21016762,37412,"2025-04-28 00:03:09.151500+00:00"
"107","n7x4Jj9pdH8","World’s Most Expensive Bed","",2023-10-31 17:00:01,"youtube#video",48,426277532,20028128,33879,"2025-04-28 00:03:09.151500+00:00"
"108","QjvpjXdgugA","World’s Deadliest Laser Maze!","I can't believe what happened at the end… Drink PRIME Hydration, now at Walmart, Target, 7-Eleven, and Kroger Family Stores.",2023-10-28 15:59:59,"youtube#video",1559,260417250,4701902,82573,"2025-04-28 00:03:09.151500+00:00"
"109","jGAJCAuV3pQ","World’s Most Expensive Coffee","",2023-10-19 17:00:03,"youtube#video",33,251161862,11072225,27597,"2025-04-28 00:03:09.151500+00:00"
"110","c0v8OPItCOg","$100,000,000 Bathroom","",2023-10-17 17:00:00,"youtube#video",50,317319425,12213178,21933,"2025-04-28 00:03:09.151500+00:00"
"111","SHOV58tdNiI","Miranda Cosgrove Said What?","",2023-10-15 17:00:00,"youtube#video",15,244287439,12031482,60592,"2025-04-13 00:04:39.670563+00:00"
"112","3ryID_SwU5E","$1 vs $100,000,000 House!","I can't believe how expensive the last house is In case you want to buy the $139000000 House...",2023-10-14 16:00:00,"youtube#video",1023,330182322,6055589,131426,"2025-04-28 00:03:09.151500+00:00"
"113","IemzxkkzI5s","I Tipped A Pizza Delivery Driver A Car","",2023-10-12 17:30:03,"youtube#video",52,590190910,25582443,33216,"2025-04-28 00:03:09.151500+00:00"
"114","3OFj6l2tQ9s","World&#39;s Most Dangerous Trap!","I can't believe how crazy the last room is Grab my FREE Jail Time Jimmy skin when you download Stumble Guys! Jump into the ...",2023-10-07 16:00:00,"youtube#video",1174,295984272,6548419,149654,"2025-04-28 00:03:09.151500+00:00"
"115","bvlFjrcpD6s","I NEED 1 MORE 𝗦𝗨𝗕𝗦𝗖𝗥𝗜𝗕𝗘𝗥","",2023-10-05 17:00:01,"youtube#video",23,401948590,27378231,78403,"2025-04-13 00:04:39.670563+00:00"
"116","AZlBZuS4hr0","Guess The Gift, Keep It","",2023-10-03 17:00:00,"youtube#video",45,831250785,24796585,20402,"2025-04-28 00:03:09.151500+00:00"
"117","Gx6VeIIbWwM","Spot The Hidden People For $10,000","",2023-09-28 17:00:01,"youtube#video",35,686668984,21337358,28395,"2025-04-07 00:04:51.143965+00:00"
"118","CAOY8EKH1qU","I Paid A Random Student’s College Tuition","",2023-09-26 16:59:59,"youtube#video",37,439355318,23946210,55139,"2025-04-26 00:02:13.435310+00:00"
"119","IQxea9UB1nQ","$100,000,000 Car Doors","",2023-09-19 17:00:00,"youtube#video",29,1018454680,27809109,35931,"2025-04-28 00:03:09.151500+00:00"
"120","KrLj6nc516A","$1 vs $100,000,000 Car!","I have no idea why the last car was so expensive See how cool the Samsung Galaxy Z Flip5 is for yourself: ...",2023-09-16 16:00:01,"youtube#video",988,423057154,7498457,150803,"2025-04-28 00:03:09.151500+00:00"
"121","zgLhCT7aFCA","Extreme Home Makeover!","",2023-09-12 17:00:00,"youtube#video",57,359844111,19100157,44162,"2025-04-28 00:03:09.151500+00:00"
"122","L5kIXRdwGAI","Katana Vs Bullet","",2023-09-07 17:00:01,"youtube#video",41,1019423477,36896619,48732,"2025-04-28 00:03:09.151500+00:00"
"123","19NmWqv4Alk","How Many School Buses Can We Stack?","",2023-09-05 16:59:57,"youtube#video",45,463965439,15224189,28142,"2025-04-28 00:03:09.151500+00:00"
"124","vBpQ1SlfVtU","Lamborghini Vs World&#39;s Largest Shredder","who let me do this lol Click here to join Creator League now: http://www.creatorleague.gg/mrbeast Buy a pass before September ...",2023-09-02 16:00:00,"youtube#video",899,231877770,5589794,142767,"2025-04-28 00:03:09.151500+00:00"
"125","SGzWIoLAzmY","Feeding A Cat $10 Vs $10,000 Sushi","",2023-08-31 17:00:00,"youtube#video",31,347494603,13384841,28373,"2025-04-28 00:03:09.151500+00:00"
"126","NnNZLCl78Ao","Make This Kick, Win Super Bowl Tickets","",2023-08-25 16:00:25,"youtube#video",52,135622961,5162600,8827,"2025-04-28 00:03:09.151500+00:00"
"127","NTZhwAldqwg","Metal Pipe Vs School Bus","",2023-08-22 17:00:00,"youtube#video",28,496685344,13681983,28104,"2025-04-13 00:04:39.670563+00:00"
"128","J_z-W4UVHkw","Every Country On Earth Fights For $250,000!","New Merch - https://mrbeast.store Thanks! https://fie.org Check out Viewstats! - https://www.viewstats.com/ SUBSCRIBE OR I TAKE ...",2023-08-19 16:00:01,"youtube#video",1093,232599427,6321554,367097,"2025-04-28 00:03:09.151500+00:00"
"129","mKIhHNznt4s","Can You Beat A Girl In Arm Wrestling?","",2023-08-17 17:00:00,"youtube#video",52,520017831,20518592,37380,"2025-04-28 00:03:09.151500+00:00"
"130","jObOjhUkf50","$1 vs $250,000 Vacation!","I did not expect the $250000 vacation to be that crazy… Thank you teamLab Planets TOKYO for letting us film! Thanks to the ...",2023-08-12 15:59:59,"youtube#video",967,335655956,6485112,106794,"2025-04-28 00:03:09.151500+00:00"
"131","O3YVBJ2n5xg","I Ate The World’s Most Poisonous Fish","",2023-08-08 17:30:01,"youtube#video",32,452478539,21200496,38985,"2025-04-13 00:04:39.670563+00:00"
"132","yhB3BgJyGl8","7 Days Stranded At Sea","Launch a store on Shopify right now https://shopify.com/mrbeast Go get your free box of Feastables while supplies lasts ...",2023-08-05 16:00:01,"youtube#video",1085,355374102,7938087,124408,"2025-04-28 00:03:09.151500+00:00"
"133","CP82DAKzL1U","I Traded My Car At a Red Light","",2023-07-15 17:00:01,"youtube#video",47,620118829,25908630,38881,"2025-04-28 00:03:09.151500+00:00"
