"","Model.Name","Price","Manufacturing_year","Engine.capacity","Spare.key","Transmission","KM.driven","Ownership","Fuel.type","Imperfections","Repainted.Parts"
"162","2017 Maruti Alto 800 LXI",313000,2017,796,"Yes","Manual",23280,1,"Petrol",0,0
"163","2020 Maruti IGNIS ZETA 1.2 AMT",547000,2020,1197,"No","Automatic",58158,1,"Petrol",6,6
"164","2019 Maruti Baleno ZETA CVT PETROL 1.2",681000,2019,1197,"Yes","Automatic",15895,1,"Petrol",10,2
"165","2015 Maruti Celerio VXI",303000,2015,998,"Yes","Manual",75874,1,"Petrol",7,1
"166","2021 Maruti New Wagon-R LXI CNG (O) 1.0",585000,2021,998,"Yes","Manual",51151,1,"CNG",3,1
"167","2015 Maruti Ciaz ZXI",507000,2015,1373,"No","Manual",50022,1,"Petrol",5,2
"168","2016 Maruti Ciaz VXI",493000,2016,1373,"Yes","Manual",60410,1,"Petrol",7,2
"169","2013 Maruti Wagon R Stingray VXI",295000,2013,998,"No","Manual",35954,1,"Petrol",25,3
"170","2011 Maruti Alto K10 VXI",154000,2011,998,"No","Manual",63048,1,"Petrol",33,3
"171","2018 Maruti Swift VXI",577000,2018,1197,"No","Manual",37330,2,"Petrol",14,5
"172","2020 Maruti S PRESSO VXI (O) AMT",454000,2020,998,"Yes","Automatic",13440,1,"Petrol",13,0
"173","2014 Maruti Wagon R 1.0 LXI",326000,2014,998,"No","Manual",53063,2,"Petrol",11,5
"174","2016 Maruti Swift LXI (O)",337000,2016,1197,"No","Manual",69235,3,"Petrol",0,0
"175","2018 Maruti Wagon R 1.0 LXI CNG",390000,2018,998,"Yes","Manual",56257,1,"CNG",0,0
"176","2014 Maruti Celerio VXI AMT",372000,2014,998,"Yes","Automatic",71320,1,"Petrol",0,0
"177","2022 Maruti Vitara Brezza LXI",700000,2022,1462,"Yes","Manual",36045,1,"Petrol",3,0
"178","2019 Maruti Swift LXI",455000,2019,1197,"No","Manual",57073,1,"Petrol",7,15
"179","2011 Maruti Swift VXI",218000,2011,1197,"Yes","Manual",68075,1,"Petrol",30,6
"180","2012 Maruti Swift Dzire VXI",362000,2012,1197,"Yes","Manual",64036,1,"Petrol",2,4
"181","2022 Maruti Ertiga VXI AT SHVS",1084000,2022,1462,"Yes","Automatic",35378,1,"Petrol",2,3
"182","2016 Maruti Celerio ZXI AMT",379000,2016,998,"No","Automatic",37597,2,"Petrol",5,0
"183","2011 Maruti Ritz VXI",182000,2011,1197,"Yes","Manual",43506,1,"Petrol",0,0
"184","2014 Maruti Wagon R 1.0 LXI",327000,2014,998,"Yes","Manual",115256,1,"CNG",22,6
